hour,day,month,weekday,is_holiday,temp,price_uzs,demand_kwh,prev_demand_kwh,produce
0,1,1,6,1,1.3,347.7,90.8,115.1,1
1,1,1,6,1,0.1,360.1,95.1,94.6,1
2,1,1,6,1,2.8,339.0,92.0,88.0,1
3,1,1,6,1,3.4,355.3,98.8,88.7,1
4,1,1,6,1,2.5,354.9,90.6,94.1,1
5,1,1,6,1,-0.5,331.4,91.6,95.8,1
6,1,1,6,1,0.8,552.9,121.8,87.3,0
7,1,1,6,1,-1.3,551.9,128.3,129.8,0
8,1,1,6,1,-2.8,538.8,128.1,132.4,0
9,1,1,6,1,-0.2,684.0,146.2,125.5,0
10,1,1,6,1,-2.3,673.7,150.9,151.1,0
11,1,1,6,1,-6.6,709.0,161.2,158.8,0
12,1,1,6,1,-4.7,900,173.6,153.5,0
13,1,1,6,1,-6.5,900,178.8,180.9,0
14,1,1,6,1,-6.7,900,180.7,179.4,0
15,1,1,6,1,-5.7,899.5,172.6,176.5,0
16,1,1,6,1,-4.0,900,174.8,176.7,0
17,1,1,6,1,-4.7,900,172.9,174.0,0
18,1,1,6,1,-6.9,900,182.2,175.8,0
19,1,1,6,1,-3.0,763.2,161.7,167.8,0
20,1,1,6,1,-1.9,764.9,152.8,154.7,1
21,1,1,6,1,-1.0,761.6,163.8,156.6,0
22,1,1,6,1,2.1,771.0,148.2,160.3,0
23,1,1,6,1,1.7,468.1,115.8,151.4,0
0,2,1,0,1,0.7,327.0,92.8,111.6,0
1,2,1,0,1,2.9,335.2,89.0,89.4,1
2,2,1,0,1,1.2,353.9,96.1,96.8,1
3,2,1,0,1,2.6,337.2,98.1,94.8,1
4,2,1,0,1,1.6,369.0,93.6,86.0,1
5,2,1,0,1,1.2,356.5,92.2,88.6,1
6,2,1,0,1,-0.2,546.3,121.1,90.1,0
7,2,1,0,1,-0.3,554.8,127.2,123.9,0
8,2,1,0,1,-2.0,527.5,138.8,131.9,0
9,2,1,0,1,-3.2,669.0,158.1,136.8,0
10,2,1,0,1,-4.8,695.6,155.3,151.6,0
11,2,1,0,1,-2.4,680.5,152.4,144.8,0
12,2,1,0,1,-7.3,900,177.7,164.2,0
13,2,1,0,1,-6.2,900,178.2,173.0,0
14,2,1,0,1,-4.3,900,183.9,174.1,0
15,2,1,0,1,-6.9,900,185.4,182.1,0
16,2,1,0,1,-6.9,897.0,181.9,178.9,0
17,2,1,0,1,-3.0,900,168.7,174.1,0
18,2,1,0,1,-2.8,900,175.1,174.2,0
19,2,1,0,1,-2.7,765.5,166.5,174.5,0
20,2,1,0,1,-1.1,725.8,151.1,148.8,0
21,2,1,0,1,-1.1,785.0,154.7,158.1,0
22,2,1,0,1,1.2,765.0,158.0,160.0,0
23,2,1,0,1,0.0,470.3,112.2,159.1,1
0,3,1,1,0,0.6,447.3,105.5,127.2,1
1,3,1,1,0,1.2,412.5,100.0,105.6,0
2,3,1,1,0,3.2,428.4,101.1,100.0,1
3,3,1,1,0,2.4,408.7,109.7,106.2,1
4,3,1,1,0,1.5,427.7,105.9,93.5,1
5,3,1,1,0,1.8,412.9,111.2,110.7,0
6,3,1,1,0,1.9,642.9,145.0,113.3,0
7,3,1,1,0,-3.2,689.5,148.1,157.6,0
8,3,1,1,0,-1.6,656.8,153.7,147.6,1
9,3,1,1,0,-3.9,861.5,175.1,152.8,0
10,3,1,1,0,-4.8,863.6,172.1,175.5,0
11,3,1,1,0,-5.0,889.9,179.9,176.3,0
12,3,1,1,0,-5.6,900,197.0,171.4,0
13,3,1,1,0,-4.8,900,199.1,198.9,0
14,3,1,1,0,-6.1,900,195.2,199.1,0
15,3,1,1,0,-6.8,900,200,200,0
16,3,1,1,0,-6.3,900,200,200,0
17,3,1,1,0,-5.5,900,197.7,200,0
18,3,1,1,0,-5.4,900,200,195.1,0
